iter	Passed	Remaining
406	5488	7996
407	5500	7981
408	5514	7968
409	5527	7954
410	5540	7940
411	5555	7929
412	5567	7913
413	5580	7899
414	5594	7885
415	5609	7874
416	5623	7862
417	5640	7853
418	5656	7842
419	5666	7825
420	5696	7834
421	5712	7824
422	5726	7811
423	5740	7797
424	5754	7785
425	5770	7775
426	5783	7761
427	5795	7745
428	5808	7731
429	5821	7716
430	5834	7703
431	5847	7687
432	5862	7677
433	5876	7663
434	5890	7650
435	5906	7640
436	5921	7628
437	5936	7617
438	5953	7608
439	5971	7600
440	5987	7589
441	6006	7582
442	6022	7572
443	6043	7567
444	6064	7563
445	6081	7554
446	6099	7545
447	6115	7534
448	6130	7523
449	6144	7509
450	6159	7497
451	6180	7493
452	6196	7482
453	6209	7468
454	6225	7456
455	6239	7443
456	6254	7431
457	6274	7424
458	6289	7412
459	6306	7402
460	6323	7392
461	6338	7381
462	6354	7370
463	6378	7368
464	6394	7356
465	6411	7347
466	6432	7341
467	6448	7330
468	6463	7318
469	6479	7306
470	6495	7295
471	6509	7281
472	6520	7264
473	6532	7248
474	6542	7230
475	6552	7212
476	6565	7198
477	6580	7186
478	6597	7176
479	6612	7163
480	6625	7148
481	6636	7132
482	6650	7118
483	6663	7103
484	6677	7090
485	6690	7076
486	6704	7062
487	6717	7047
488	6729	7032
489	6741	7016
490	6757	7005
491	6772	6992
492	6788	6980
493	6804	6970
494	6820	6958
495	6833	6943
496	6846	6928
497	6859	6914
498	6871	6899
499	6883	6883
500	6896	6869
501	6912	6857
502	6923	6841
503	6935	6825
504	6947	6810
505	6962	6797
506	6975	6782
507	6987	6767
508	6999	6751
509	7014	6739
510	7026	6724
511	7041	6710
512	7054	6696
513	7067	6682
514	7079	6667
515	7096	6656
516	7115	6647
517	7135	6639
518	7149	6626
519	7161	6610
520	7175	6596
521	7188	6582
522	7201	6567
523	7209	6549
524	7224	6536
525	7235	6519
526	7244	6501
527	7256	6487
528	7270	6473
529	7280	6456
530	7289	6438
531	7300	6422
532	7309	6404
533	7321	6389
534	7337	6377
535	7353	6365
536	7372	6356
537	7386	6343
538	7402	6331
539	7416	6318
540	7429	6303
541	7445	6292
542	7457	6276
543	7471	6263
544	7487	6251
545	7502	6238
546	7515	6223
547	7528	6209
548	7544	6197
549	7558	6184
550	7570	6168
551	7580	6152
552	7588	6134
553	7599	6117
554	7609	6101
555	7620	6085
556	7631	6069
557	7639	6051
558	7666	6047
559	7677	6032
560	7686	6014
561	7696	5998
562	7705	5980
563	7715	5964
564	7725	5948
565	7735	5931
566	7747	5916
567	7759	5901
568	7768	5884
569	7778	5868
570	7788	5851
571	7797	5834
572	7808	5818
573	7817	5801
574	7827	5785
575	7838	5770
576	7849	5754
577	7859	5738
578	7870	5722
579	7879	5706
580	7891	5691
581	7902	5675
582	7913	5660
583	7926	5646
584	7938	5631
585	7948	5615
586	7963	5602
587	7975	5588
588	7987	5573
589	7999	5558
590	8013	5546
591	8026	5531
592	8038	5517
593	8049	5501
594	8063	5488
595	8076	5474
596	8088	5460
597	8100	5445
598	8111	5430
599	8123	5415
600	8135	5401
601	8147	5386
602	8162	5373
603	8174	5359
604	8186	5344
605	8199	5330
606	8209	5315
607	8222	5301
608	8234	5286
609	8249	5274
610	8260	5259
611	8274	5245
612	8286	5231
613	8298	5217
614	8309	5202
615	8322	5187
616	8334	5173
617	8345	5158
618	8357	5143
619	8370	5130
620	8384	5117
621	8402	5106
622	8413	5091
623	8422	5075
624	8432	5059
625	8442	5043
626	8452	5028
627	8464	5014
628	8474	4998
629	8484	4983
630	8495	4967
631	8504	4951
632	8514	4936
633	8523	4920
634	8532	4904
635	8544	4890
636	8553	4874
637	8563	4859
638	8572	4843
639	8585	4829
640	8595	4814
641	8604	4798
642	8616	4783
643	8626	4768
644	8635	4753
645	8647	4738
646	8659	4724
647	8668	4708
648	8678	4693
649	8689	4679
650	8698	4663
651	8709	4648
652	8718	4633
653	8730	4618
654	8742	4604
655	8751	4589
656	8761	4574
657	8771	4558
658	8782	4544
659	8796	4531
660	8807	4516
661	8816	4501
662	8825	4486
663	8835	4470
664	8845	4455
665	8856	4441
666	8866	4426
667	8876	4411
668	8885	4396
669	8896	4382
670	8907	4367
671	8916	4352
672	8927	4337
673	8937	4322
674	8946	4307
675	8956	4292
676	8965	4277
677	8976	4262
678	8986	4248
679	8996	4233
680	9006	4219
681	9015	4203
682	9025	4189
683	9037	4175
684	9046	4159
685	9056	4145
686	9066	4130
687	9075	4115
688	9085	4101
689	9096	4086
690	9106	4072
691	9116	4057
692	9126	4043
693	9136	4028
694	9145	4013
695	9156	3999
696	9166	3984
697	9175	3969
698	9185	3955
699	9197	3941
700	9209	3928
701	9219	3913
702	9228	3898
703	9238	3884
704	9248	3870
705	9258	3855
706	9268	3841
707	9277	3826
708	9288	3812
709	9299	3798
710	9309	3783
711	9319	3769
712	9331	3756
713	9341	3741
714	9351	3727
715	9362	3713
716	9372	3699
717	9382	3685
718	9392	3670
719	9404	3657
720	9414	3642
721	9423	3628
722	9480	3632
723	9531	3633
724	9580	3633
725	9649	3641
726	9673	3632
727	9697	3623
728	9721	3613
729	9750	3606
730	9777	3598
731	9815	3593
732	9830	3580
733	9846	3568
734	9859	3554
735	9876	3542
736	9888	3528
737	9902	3515
738	9916	3502
739	9929	3488
740	9940	3474
741	9949	3459
742	9960	3445
743	9969	3430
744	9979	3415
745	9988	3401
746	9998	3386
747	10011	3372
748	10020	3357
749	10029	3343
750	10040	3329
751	10052	3315
752	10064	3301
753	10076	3287
754	10088	3273
755	10100	3259
756	10111	3245
757	10124	3232
758	10135	3218
759	10149	3205
760	10162	3191
761	10174	3177
762	10186	3164
763	10200	3150
764	10212	3137
765	10225	3123
766	10237	3110
767	10250	3096
768	10261	3082
769	10314	3081
770	10344	3072
771	10370	3062
772	10394	3052
773	10460	3054
774	10483	3043
775	10514	3035
776	10549	3027
777	10595	3023
778	10612	3010
779	10625	2996
780	10638	2983
781	10650	2968
782	10663	2955
783	10675	2941
784	10687	2927
785	10698	2912
786	10708	2898
787	10718	2883
788	10728	2869
789	10739	2854
790	10748	2839
791	10759	2825
792	10770	2811
793	10779	2796
794	10789	2782
795	10800	2767
796	10809	2753
797	10819	2738
798	10828	2723
799	10838	2709
800	10850	2695
801	10866	2682
802	10888	2671
803	10904	2658
804	10915	2644
805	10928	2630
806	10940	2616
807	10953	2602
808	10968	2589
809	10980	2575
810	10993	2561
811	11006	2548
812	11018	2534
813	11031	2520
814	11042	2506
815	11055	2492
816	11069	2479
817	11084	2466
818	11096	2452
819	11108	2438
820	11122	2424
821	11135	2411
822	11151	2398
823	11163	2384
824	11176	2370
825	11189	2357
826	11203	2343
827	11216	2329
828	11229	2316
829	11247	2303
830	11262	2290
831	11274	2276
832	11287	2262
833	11300	2249
834	11312	2235
835	11327	2222
836	11342	2208
837	11353	2194
838	11366	2181
839	11378	2167
840	11391	2153
841	11403	2139
842	11418	2126
843	11431	2112
844	11449	2100
845	11465	2087
846	11478	2073
847	11493	2060
848	11515	2048
849	11546	2037
850	11563	2024
851	11579	2011
852	11621	2002
853	11632	1988
854	11647	1975
855	11661	1961
856	11674	1947
857	11682	1933
858	11693	1919
859	11705	1905
860	11715	1891
861	11726	1877
862	11736	1863
863	11746	1848
864	11759	1835
865	11769	1821
866	11780	1807
867	11791	1793
868	11802	1779
869	11812	1765
870	11823	1751
871	11833	1737
872	11842	1722
873	11853	1708
874	11863	1694
875	11875	1681
876	11886	1667
877	11902	1653
878	11918	1640
879	11938	1627
880	11954	1614
881	11971	1601
882	11987	1588
883	12002	1575
884	12018	1561
885	12037	1548
886	12055	1535
887	12079	1523
888	12100	1510
889	12117	1497
890	12138	1484
891	12154	1471
892	12167	1457
893	12177	1443
894	12191	1430
895	12205	1416
896	12219	1403
897	12229	1389
898	12238	1374
899	12249	1361
900	12259	1347
901	12273	1333
902	12295	1320
903	12355	1312
904	12388	1300
905	12444	1291
906	12481	1279
907	12515	1268
908	12533	1254
909	12579	1244
910	12591	1230
911	12605	1216
912	12617	1202
913	12629	1188
914	12641	1174
915	12651	1160
916	12665	1146
917	12676	1132
918	12686	1118
919	12696	1104
920	12706	1089
921	12718	1075
922	12727	1061
923	12737	1047
924	12750	1033
925	12761	1019
926	12775	1006
927	12785	991
928	12799	978
929	12815	964
930	12832	951
931	12846	937
932	12868	924
933	12883	910
934	12896	896
935	12910	882
936	12921	868
937	12930	854
938	12940	840
939	12950	826
940	12960	812
941	12971	798
942	12981	784
943	12991	770
944	13002	756
945	13016	743
946	13029	729
947	13043	715
948	13057	701
949	13075	688
950	13089	674
951	13108	660
952	13124	647
953	13137	633
954	13151	619
955	13169	606
956	13184	592
957	13197	578
958	13209	564
959	13220	550
960	13232	537
